Node	 closeness centrality	 degree centrality	 betweenness centrality
BHY	0.356877926905808	0.03896103896103896	1.3750950172981522e-05
XIY	0.3815207643821653	0.21558441558441557	0.013683129428952666
CAN	0.46602020552263274	0.33376623376623377	0.0622575086847952
CKG	0.39465637137785137	0.21818181818181817	0.008935210345456543
CTU	0.4205921679634714	0.2649350649350649	0.03802678511421556
CGO	0.37758175944016653	0.14025974025974025	0.0014609716592585437
CGQ	0.3614123758594347	0.07272727272727272	0.0002216806826032177
HRB	0.3764712248535778	0.14675324675324675	0.015664322875659397
KMG	0.42619383945688055	0.24155844155844156	0.031060570269660304
URC	0.380386973106141	0.12987012987012986	0.026254275752271485
NKG	0.3807641540412983	0.13246753246753246	0.0009803469659235952
TNA	0.3739052087153353	0.1038961038961039	0.0012567995791215262
TSN	0.3819001982602182	0.13246753246753246	0.001780376998930998
CSX	0.3924380678085328	0.17922077922077922	0.004001290640933416
CZX	0.35638111308644954	0.046753246753246755	3.833564122430885e-05
DLC	0.3686996153150738	0.14805194805194805	0.0033094562196677615
DYG	0.35036555597686986	0.03116883116883117	3.310478599803421e-06
KHN	0.37065699744271174	0.0987012987012987	0.0005136579337392398
LHW	0.36415424310161154	0.08051948051948052	0.002799038531007859
LJG	0.3724545580510663	0.07272727272727272	0.0005376025564859864
LXA	0.3500461707845482	0.03636363636363636	0.003334926439849258
NGB	0.3828520930714351	0.0987012987012987	0.0009846390233817935
NNG	0.3876836439683487	0.11428571428571428	0.0027563857217962947
PEK	0.4901093163377784	0.4090909090909091	0.13144425228269094
PVG	0.4533655836489367	0.3077922077922078	0.04565660319934886
PZI	0.30000050730519484	0.005194805194805195	0.0
SYX	0.36501962866031307	0.1038961038961039	0.00013571828083030774
SZX	0.40230555196505957	0.22077922077922077	0.00965591348607805
TSA	0.34103077206984844	0.04935064935064935	0.0038821213320423343
TYN	0.36994282211045215	0.11688311688311688	0.0004172037158832446
WUH	0.39044295816029423	0.16363636363636364	0.004913394544849945
WUX	0.36746473622071707	0.04935064935064935	3.6054565403763966e-05
XNN	0.35704383947061774	0.046753246753246755	0.0033752308393690893
YIH	0.3567121684632135	0.03636363636363636	8.582589391358876e-07
ZHA	0.35804256349710895	0.033766233766233764	2.615962190093335e-05
FOC	0.3922376397861587	0.12207792207792208	0.0019838809325944686
SHE	0.37065699744271174	0.15324675324675324	0.0020343327345140006
WNZ	0.3676406408335561	0.08571428571428572	0.00037878522557777117
XMN	0.4016743194044449	0.18181818181818182	0.007236559046813322
DCY	0.2960683495378947	0.0025974025974025974	0.0
DSN	0.35359175814976923	0.046753246753246755	5.4848120169189446e-05
HDG	0.3365474578007444	0.015584415584415584	1.7513997441849293e-06
HET	0.3632929511359029	0.08831168831168831	0.0009600356242585477
HFE	0.3662381014312345	0.09090909090909091	0.00015681145487939492
ICN	0.47349031979118295	0.24415584415584415	0.0538027212251369
JHG	0.31501283785943346	0.023376623376623377	9.330732444592814e-05
JIQ	0.3514880085589468	0.015584415584415584	0.0
JZH	0.3340588511097428	0.012987012987012988	0.0
KOW	0.3527796502991726	0.025974025974025976	1.4131257513788499e-06
KWE	0.37813948729753755	0.12207792207792208	0.002436489764360501
LUM	0.3510060780170469	0.01038961038961039	0.0
LZY	0.2965255979541694	0.005194805194805195	0.0
SJW	0.36158253234524423	0.08311688311688312	0.0002756002236363977
TAO	0.38342551108402334	0.14025974025974025	0.0028180335120992273
WXN	0.35572084238133334	0.02077922077922078	4.22204583452958e-08
XIC	0.31168883875864395	0.007792207792207792	0.0
XUZ	0.3550630137315297	0.04415584415584416	2.2749102410791763e-05
YTY	0.35310404537990747	0.033766233766233764	3.3174622588860177e-06
ZUH	0.3558856805844758	0.07792207792207792	0.0004923829123375741
DAT	0.34072817156224433	0.01818181818181818	1.844482295435507e-05
DNH	0.29941571099465836	0.01038961038961039	0.0
GXH	0.2784631249823418	0.005194805194805195	0.0
NZH	0.33817758639423107	0.025974025974025976	0.0009389643572488934
JGN	0.2764583508643984	0.005194805194805195	0.0
JJN	0.3590468904634403	0.046753246753246755	4.570205158496772e-05
KHG	0.3105545081687419	0.01038961038961039	0.00045562822932394966
KWL	0.37665586007910684	0.1025974025974026	0.0005353987870535175
MIG	0.3529417733002292	0.04025974025974026	3.332511071268057e-05
LYI	0.349568183295994	0.03636363636363636	2.438676822741607e-05
ZHY	0.3294728866157438	0.005194805194805195	0.0
YBP	0.350685524521141	0.01818181818181818	4.22204583452958e-08
UYN	0.3461024329433523	0.01818181818181818	1.3495546731993378e-05
TJM	0.3063427597532105	0.04025974025974026	0.0008805363653618565
UFA	0.3169629792411468	0.033766233766233764	0.0011855903765177003
NYM	0.2782613401091662	0.012987012987012988	4.2510206588841955e-06
OVS	0.27816055729855077	0.01038961038961039	4.70137221456735e-06
DAC	0.40062665555623306	0.07662337662337662	0.017332014735466545
BZL	0.28603400324070716	0.0025974025974025974	0.0
CCU	0.38709742878089654	0.09090909090909091	0.020767534558326764
CGP	0.35921482633362894	0.025974025974025976	0.00012652201124881187
MCT	0.37869886523732676	0.1025974025974026	0.008288887291278371
CXB	0.28603400324070716	0.0025974025974025974	0.0
DXB	0.4700130347009172	0.23506493506493506	0.11990376939673537
JED	0.40442406461363806	0.15974025974025974	0.041108958094103545
JSR	0.28603400324070716	0.0025974025974025974	0.0
KTM	0.40209492078602027	0.07532467532467532	0.02416002357236852
SPD	0.28603400324070716	0.003896103896103896	0.0012970124803674868
ZYL	0.32667005474321514	0.005194805194805195	0.0
RJH	0.22248009811740982	0.0025974025974025974	0.0
DEL	0.4276176496109681	0.19220779220779222	0.05966039538700293
HEA	0.3079395744592216	0.007792207792207792	7.374612519495615e-05
KBL	0.33595857336014817	0.02987012987012987	0.0012641478228901275
MZR	0.2578916382475818	0.005194805194805195	2.677047992514289e-06
BCD	0.3005875924466923	0.007792207792207792	0.0
CEB	0.3542441414673887	0.07012987012987013	0.010209102117670208
DVO	0.32778544545509974	0.02077922077922078	0.00029868816237020314
BKI	0.3770256743747171	0.07532467532467532	0.013783834689637987
BWN	0.38612433318315675	0.03116883116883117	0.0013639994423823988
CGM	0.26158082380834424	0.0025974025974025974	0.0
CRK	0.35116657462336476	0.01818181818181818	3.0044418510148607e-05
DPL	0.3005875924466923	0.007792207792207792	0.0
IAO	0.26158082380834424	0.0025974025974025974	0.0
ILO	0.3411822739677027	0.01818181818181818	0.00021909233617195282
PAG	0.3004699916671748	0.005194805194805195	0.0
PUS	0.3884680317153762	0.08831168831168831	0.0017954570226712163
TAC	0.3004699916671748	0.005194805194805195	0.0
USU	0.3004699916671748	0.005194805194805195	0.0
CGK	0.42977129194252867	0.15194805194805194	0.06767390019848947
MFM	0.39203741638657413	0.0987012987012987	0.001667742777867328
CYZ	0.30000050730519484	0.0025974025974025974	0.0
DPS	0.39103935779088533	0.08831168831168831	0.023324073630890153
HAN	0.39979245117194107	0.10909090909090909	0.017291736609180593
LAO	0.30000050730519484	0.0025974025974025974	0.0
NGO	0.38965058280126774	0.09610389610389611	0.004674794973131892
NRT	0.4416338692934438	0.14025974025974025	0.017999568341946416
SJI	0.30000050730519484	0.0025974025974025974	0.0
TAG	0.30000050730519484	0.0025974025974025974	0.0
VRC	0.30000050730519484	0.0025974025974025974	0.0
